school_id,course_id,school_name,school_about
S_BNU,C_course-v1:BNU+CSL21148501+2018_T2,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+GE310141091+2019_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+2017112001X+2019_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+2018122603X+2018_T2,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+CSL21126882+2019_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+0610073991+2019_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+1010070372+2019_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+2017053101X+2019_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+GE410081071-01+2019_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+2018122405X+2019_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+2018122602X+2019_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+2018091301X+2019_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+CHE21128011+2019_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+2018091302X+2019_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+2018091303X+2019_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+PHI2107404101+2019_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+0610073981+2019_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+0210021441+2019_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+2017071001X+2019_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+2018091305X+2019_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+2018011801X+2019_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+ENV13018+2019_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+2017001+2018_T2,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+GOV21089621+2019_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+ENV21105101+2019_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+GE410081071-01+2017_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+2018122601X+2019_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+2017071001X+2017_sp,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+0910042801+2019_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+2018091304X+2019_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_BNU,C_course-v1:BNU+2017001+2019_T1,beijing normal university,beijing normal university referred to as beijing normal university is directly under the ministry of education of the peoples republic of china and directly managed by the central government at the deputy ministerial level it ranks among the 211 project and 985 project and was selected into the national everest plan  2011 plan 111 plan excellent legal talent education and training plan with a graduate school it is a comprehensive national key university with teacher education educational science and basic liberal arts and sciences as its main features
S_UQx,C_course-v1:UQx+Think101x+2019_T1,university of queensland,the university of queensland referred to as queensland university is one of the worlds top 50 universities australias top universities and a famous higher scientific research institution one of the top eight universities of the australian ivy league
S_UQx,C_course-v1:UQx+Think101x+sp,university of queensland,the university of queensland referred to as queensland university is one of the worlds top 50 universities australias top universities and a famous higher scientific research institution one of the top eight universities of the australian ivy league
S_UQx,C_course-v1:UQx+TROPIC101x+sp,university of queensland,the university of queensland referred to as queensland university is one of the worlds top 50 universities australias top universities and a famous higher scientific research institution one of the top eight universities of the australian ivy league
S_UQx,C_course-v1:UQx+BIOIMG101x+sp,university of queensland,the university of queensland referred to as queensland university is one of the worlds top 50 universities australias top universities and a famous higher scientific research institution one of the top eight universities of the australian ivy league
S_UQx,C_course-v1:UQx+Crime101x+sp,university of queensland,the university of queensland referred to as queensland university is one of the worlds top 50 universities australias top universities and a famous higher scientific research institution one of the top eight universities of the australian ivy league
